1.558,1.866,1.422,1.43,2.302,1.236,1.502,1.225,1.623,1.006,0.5,1.176,1.091,0.574,1.143,1.145,2.37,1.603,2.247,1.717
1.346,1.773,2.376,1.211,1.999,0.5,1.687,1.65,1.522,0.982,1.551,1.302,1.548,0.397,2.116,1.46,2.133,2.664,2.497,1.925
9.585,,8.809,8.018,9.533,3.548,15.828,5.344,5.008,4.697,2.09,6.736,3.824,5.652,8.19,4.764,,,10.434,10.215
9.452,,14.649,17.204,26.914,6.042,18.273,,16.853,29.014,4.083,,7.373,,11.185,4.937,,,17.609,19.124
,,,,,,,,,,,,,,,,,,,
