1.558,1.346,9.585,9.452
1.866,1.773,,
1.422,2.376,8.809,14.649
1.43,1.211,8.018,17.204
2.302,1.999,9.533,26.914
1.236,0.5,3.548,6.042
1.502,1.687,15.828,18.273
1.225,1.65,5.344,
1.623,1.522,5.008,16.853
1.006,0.982,4.697,29.014
0.5,1.551,2.09,4.083
1.176,1.302,6.736,
1.091,1.548,3.824,7.373
0.574,0.397,5.652,
1.143,2.116,8.19,11.185
1.145,1.46,4.764,4.937
2.37,2.133,,
1.603,2.664,,
2.247,2.497,10.434,17.609
1.717,1.925,10.215,19.124
